BBB,borough_code,block_number,lot_number,tax_year,owner_name,property_address,granted_reduction_amount,tax_class_code,BBB_test
1-849-1727,1,849,1727,2017,254 PAS TREVI LLC,254 PARK AVENUE SOUTH,132366.0,4,1-849-1727
1-849-1727,1,849,1727,2018,254 PAS TREVI LLC,254 PARK AVENUE SOUTH,121502.0,4,1-849-1727
1-850-4,1,850,4,2018,777-26 LLC,153 5 AVENUE,1304650.0,4,1-850-4
1-850-12,1,850,12,2018,"GRUNBERG 928, LLC",928 BROADWAY,1189050.0,4,1-850-12
1-850-16,1,850,16,2018,BROADWAY 922 ENTERPRI,922 BROADWAY,179750.0,2,1-850-16
1-850-18,1,850,18,2018,TRES TWO LLC,19 EAST 21 STREET,116850.0,2,1-850-18
1-850-19,1,850,19,2018,21 EAST 21ST LLC,21 EAST 21 STREET,213550.0,2,1-850-19
1-850-28,1,850,28,2018,22 PARK SOUTH CO.,41 EAST 21 STREET,469200.0,4,1-850-28
1-850-39,1,850,39,2018,270 PARK AVE SOUTH LL,268 PARK AVENUE SOUTH,3463350.0,2,1-850-39
1-850-62,1,850,62,2018,20 EAST 22ND STREET L,20 EAST 22 STREET,112200.0,2,1-850-62
1-850-64,1,850,64,2018,ALMARK HOLDING CO.,12 EAST 22 STREET,755800.0,2,1-850-64
1-850-75,1,850,75,2018,SHEFA LAND CORP.,159 5 AVENUE,1286150.0,4,1-850-75
1-850-1203,1,850,1203,2018,GRAMERCY PLACE CONDOM,280 PARK AVENUE SOUTH,6662.0,2,1-850-1203
1-850-1702,1,850,1702,2018,49 EAST 21ST STREET C,49 EAST 21 STREET,9114.0,2,1-850-1702
1-851-35,1,851,35,2018,300 PARK AVE. SO. LLC,286 PARK AVENUE SOUTH,401000.0,4,1-851-35
1-851-56,1,851,56,2018,6 WATER INC.,26 EAST 23 STREET,160550.0,4,1-851-56
1-851-1001,1,851,1001,2018,MADISON GREEN CORP.,5 EAST 22 STREET,210200.0,4,1-851-1001
1-851-1002,1,851,1002,2018,MADISON GREEN CORP.,5 EAST 22 STREET,191495.0,4,1-851-1002
1-851-1013,1,851,1013,2017,MADISON GREEN CONDOMI,5 EAST 22 STREET,10833.0,2,1-851-1013
1-851-1013,1,851,1013,2018,MADISON GREEN CONDOMI,5 EAST 22 STREET,12817.0,2,1-851-1013
1-851-1802,1,851,1802,2018,"GRAMERCY 29 APTS., IN",29 EAST 22 STREET,399100.0,2,1-851-1802
1-855-16,1,855,16,2018,352 PARK AVENUE SOUTH,53 EAST 25 STREET,1247050.0,4,1-855-16
1-856-24,1,856,24,2018,NEW YORK LIFE INSURAN,380 PARK AVENUE SOUTH,14545200.0,4,1-856-24
1-856-1001,1,856,1001,2017,50 MADISON AVENUE LLC,50 MADISON AVENUE,17165.0,4,1-856-1001
1-856-1001,1,856,1001,2018,50 MADISON AVENUE LLC,50 MADISON AVENUE,19415.0,4,1-856-1001
1-856-1003,1,856,1003,2018,50 MADISON AVENUE CON,50 MADISON AVENUE,22978.0,2,1-856-1003
1-856-1101,1,856,1101,2017,"225 5TH AVENUE (NY),",225 5 AVENUE,184650.0,4,1-856-1101
1-856-1101,1,856,1101,2018,"225 5TH AVENUE (NY),",225 5 AVENUE,1123530.0,4,1-856-1101
1-856-1103,1,856,1103,2017,225 FIFTH AVENUE COND,225 5 AVENUE,6442.0,2,1-856-1103
1-856-1103,1,856,1103,2018,225 FIFTH AVENUE COND,225 5 AVENUE,6261.0,2,1-856-1103
1-857-18,1,857,18,2018,66 MADISON AVENUE APA,66 MADISON AVENUE,1195050.0,2,1-857-18
1-857-62,1,857,62,2018,SHARIM INC.,72 MADISON AVENUE,803650.0,4,1-857-62
1-857-1201,1,857,1201,2017,"EQR-400 PAS, LLC",400 PARK AVENUE SOUTH,4075150.0,2,1-857-1201
